optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,micro_step_pair_ids,pair_exposure_counts,effective_instance_targets,effective_valid_model_rows,effective_valid_regions,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
1,40.22546195983887,0.4998048096895218,0.051638348028063774,0.7239081561565399,4.359318494796753,3.1990811824798584,scene0201_00-scene0201_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 0, ""scene0078_00-scene0078_01"": 0, ""scene0147_00-scene0147_01"": 0, ""scene0156_00-scene0156_01"": 0, ""scene0201_00-scene0201_01"": 1}",59,53074,297,40.22546195983887,141.0093536376953,0.9998845042734162,0.015200843364367375,True
2,50.155839920043945,0.8318062126636505,0.07353279367089272,0.638864278793335,4.390811920166016,3.7353299856185913,scene0147_00-scene0147_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 0, ""scene0078_00-scene0078_01"": 0, ""scene0147_00-scene0147_01"": 1, ""scene0156_00-scene0156_01"": 1, ""scene0201_00-scene0201_01"": 1}",68,86168,253,50.155839920043945,406.8981628417969,0.9999950792975493,0.003138194788016823,True
3,57.12529182434082,1.340088039636612,0.06517424806952477,0.7192247211933136,4.250321626663208,2.764366030693054,scene0078_00-scene0078_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 1, ""scene0147_00-scene0147_01"": 1, ""scene0156_00-scene0156_01"": 1, ""scene0201_00-scene0201_01"": 1}",52,33099,202,57.12529182434082,163.6962432861328,0.9999307477455113,0.011771916423721463,True
4,50.06207084655762,0.8345189690589905,0.07190316542983055,0.6458740234375,4.296427488327026,3.610690116882324,scene0156_00-scene0156_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 1, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 1}",68,86168,253,50.06207084655762,129.9129180908203,0.9999551689771483,0.009468287266514962,True
5,39.857887268066406,0.6348812282085419,0.05386805534362793,0.6897381246089935,4.009668946266174,2.8875479698181152,scene0078_00-scene0078_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 2, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 1}",46,46457,263,39.857887268066406,67.52606964111328,0.9995149420904507,0.03114426695095968,True
6,55.527095794677734,1.1002739816904068,0.0593140609562397,0.7411848604679108,4.041234374046326,3.082367420196533,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 2, ""scene0078_00-scene0078_01"": 2, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 2}",65,39716,236,55.527095794677734,126.24969482421875,0.9999023157684997,0.013972736556463156,True
7,47.27184295654297,0.821805864572525,0.06060517951846123,0.6652407348155975,3.8986390829086304,3.3427544832229614,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 2, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 2}",60,53172,209,47.27184295654297,758.8663940429688,0.9999969988762573,0.002428377799489241,True
8,51.58515548706055,1.3606324642896652,0.06703205779194832,0.6977774798870087,4.1512978076934814,2.9881539344787598,scene0156_00-scene0156_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 3, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 2}",60,66095,246,51.58515548706055,133.49009704589844,0.9999643149803247,0.008453070959681957,True
9,36.760894775390625,0.335141584277153,0.049104711040854454,0.718540608882904,3.714425563812256,3.198111414909363,scene0201_00-scene0201_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 3, ""scene0063_00-scene0063_02"": 3, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 3}",59,53074,297,36.760894775390625,203.5957489013672,0.9999556668383265,0.009409921843505996,True
10,60.1412467956543,1.5871137380599976,0.06779952347278595,0.644456297159195,3.8193355798721313,3.2257087230682373,scene0063_00-scene0063_02|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 3, ""scene0063_00-scene0063_02"": 4, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 3}",60,35727,191,60.1412467956543,134.610595703125,0.99993726812095,0.011194388999477615,True
