method_id,updates,checkpoint_id,common_f1_50_t1,common_f1_25_t1,raw_common_best_iou_mean_t1,raw_common_ar50_t1,raw_common_ar25_t1,full_f1_50_t1,full_f1_25_t1,common_tp50_t1,common_fp50_t1,common_fn50_t1,evaluation_run_id,selected_for_method,terminal_comparison,selection_basis
OBS_BASE_FROZEN,0,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.13793103448275862,0.5517241379310345,0.14585022553391022,0.1,0.3,0.0,0.1111111111111111,2,17,8,20260908_scene0109_obs_base_frozen_v2_domains,true,true,frozen reference
OBS_BASE_TUNED,200,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,0.14285714285714285,0.5714285714285714,0.1701511023647019,0.1,0.3,0.0,0.10810810810810811,2,16,8,20260908_scene0109_obs_base_tuned_train200_dev_v2,true,false,maximum primary metric
OBS_BASE_TUNED,500,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,0.13793103448275862,0.5517241379310345,0.1678447033708454,0.1,0.4,0.0,0.10810810810810811,2,17,8,20260908_scene0109_obs_base_tuned_train500_dev_v2,false,false,not selected
OBS_BASE_TUNED,1000,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,0.12903225806451613,0.5161290322580645,0.16001321745325822,0.1,0.3,0.0,0.10256410256410256,2,19,8,20260908_scene0109_obs_base_tuned_train1000_dev_v2,false,true,terminal comparison
OBS_FUSE,200,1864f3492177da98e2aefc98d93b98bab53a7d45faed2149b2409760dbe83018,0.13793103448275862,0.5517241379310345,0.20206480961578466,0.1,0.4,0.0,0.10810810810810811,2,17,8,20260908_scene0109_obs_fuse_train200_dev_v2,true,false,primary tie broken by raw common mean IoU
OBS_FUSE,500,d9a68b535537d637c6bec971b42080b2f2b40ee1f3c2097598a342f5f742947b,0.13793103448275862,0.5517241379310345,0.1417785478681428,0.1,0.3,0.0,0.10810810810810811,2,17,8,20260908_scene0109_obs_fuse_train500_dev_v2,false,false,not selected
OBS_FUSE,1000,dc184092068ff587c56deaec1792dbe6a5bc0fa3bc439ae2e511a05eec66079f,0.06896551724137931,0.5517241379310345,0.1390719640482935,0.0,0.3,0.0,0.10810810810810811,1,18,9,20260908_scene0109_obs_fuse_train1000_dev_v2,false,true,terminal comparison
OBS_FULL,200,ca715b6031da563ef56ef8b78969d118669aa47ff839b5480cc9b45eaa6ad72b,0.06896551724137931,0.5517241379310345,0.20144857435036984,0.1,0.4,0.0,0.10810810810810811,1,18,9,20260908_scene0109_obs_full_smoke200_dev_v2,false,false,not selected
OBS_FULL,500,8fc07c8cb08549db0d8a599356bdeb277abc1c3cf6c4a7b7e335fba0a5c6f687,0.13793103448275862,0.5517241379310345,0.15433548708145609,0.1,0.4,0.0,0.10810810810810811,2,17,8,20260908_scene0109_obs_full_train500_dev_v2,true,false,maximum primary metric
OBS_FULL,1000,1705df1db2626688cf57465569dd53fe02df27549b7a25db4d935d05068b99e0,0.06896551724137931,0.41379310344827586,0.10193743813106367,0.0,0.1,0.0,0.10810810810810811,1,18,9,20260908_scene0109_obs_full_train1000_dev_v2,false,true,terminal comparison
