pair_id,domain_id,status,execution_mode,method_id,iou_threshold,evaluated_commit,input_point_count,sensor_supported_point_count,sensor_support_fraction,raw_query_count,raw_nonempty_query_count,raw_nonempty_fraction,confident_query_count,confident_query_fraction,t0_candidate_count,t1_candidate_count,persistent_gt_count,represented_persistent_gt_count,proposal_representation_coverage,prediction_count,true_positive_count,false_positive_count,association_precision,association_recall,association_f1,forward_runtime_s,postprocess_runtime_s,peak_memory_bytes,input_sha256,config_sha256,checkpoint_sha256
scene0109_00-scene0109_01,D0_NATIVE_PROCESSED,MEASURED,REUSED_NATIVE_FORWARD_METRIC_V2_REEVALUATION,G_full,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,60385,1.0,100,89,0.89,4,0.04,963,821,13,5,0.38461538461538464,37,3,34,0.08108108108108109,0.23076923076923078,0.12,1.2637448320165277,5.464146472048014,1182520320,d85be2228b4686006f649d6ac6595b36afd6a3c74ca78b7cf2484b3b0521ce0d,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D0_NATIVE_PROCESSED,MEASURED,REUSED_NATIVE_FORWARD_METRIC_V2_REEVALUATION,F,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,60385,1.0,100,89,0.89,4,0.04,963,821,13,5,0.38461538461538464,8,3,5,0.375,0.23076923076923078,0.2857142857142857,1.2637448320165277,10.366790716070682,1182520320,d85be2228b4686006f649d6ac6595b36afd6a3c74ca78b7cf2484b3b0521ce0d,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D0_NATIVE_PROCESSED,MEASURED,REUSED_NATIVE_FORWARD_METRIC_V2_REEVALUATION,R_legacy,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,60385,1.0,100,89,0.89,4,0.04,963,821,13,5,0.38461538461538464,32,0,32,0.0,0.0,0.0,1.2637448320165277,0.20928636193275452,1182520320,d85be2228b4686006f649d6ac6595b36afd6a3c74ca78b7cf2484b3b0521ce0d,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D0_NATIVE_PROCESSED,MEASURED,REUSED_NATIVE_FORWARD_METRIC_V2_REEVALUATION,R_supported,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,60385,1.0,100,89,0.89,4,0.04,963,821,13,5,0.38461538461538464,2,0,2,0.0,0.0,0.0,1.2637448320165277,1.288629001006484,1182520320,d85be2228b4686006f649d6ac6595b36afd6a3c74ca78b7cf2484b3b0521ce0d,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D1_NATIVE_SENSOR_SUPPORT,MEASURED,CACHED_D0_SENSOR_SUPPORT_PROJECTION_METRIC_V2,G_full,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,16325,0.27034859650575477,100,87,0.87,4,0.04,328,287,13,1,0.07692307692307693,15,1,14,0.06666666666666667,0.07692307692307693,0.07142857142857144,,0.07128756400197744,,54c2f26dd8e3996a0a66d742c4008a87c97894a9e75cac1a43fa600321bb24b6,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D1_NATIVE_SENSOR_SUPPORT,MEASURED,CACHED_D0_SENSOR_SUPPORT_PROJECTION_METRIC_V2,F,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,16325,0.27034859650575477,100,87,0.87,4,0.04,328,287,13,1,0.07692307692307693,4,1,3,0.25,0.07692307692307693,0.11764705882352941,,0.06849999725818634,,54c2f26dd8e3996a0a66d742c4008a87c97894a9e75cac1a43fa600321bb24b6,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D1_NATIVE_SENSOR_SUPPORT,MEASURED,CACHED_D0_SENSOR_SUPPORT_PROJECTION_METRIC_V2,R_legacy,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,16325,0.27034859650575477,100,87,0.87,4,0.04,328,287,13,1,0.07692307692307693,29,0,29,0.0,0.0,0.0,,0.15503238420933485,,54c2f26dd8e3996a0a66d742c4008a87c97894a9e75cac1a43fa600321bb24b6,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D1_NATIVE_SENSOR_SUPPORT,MEASURED,CACHED_D0_SENSOR_SUPPORT_PROJECTION_METRIC_V2,R_supported,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,60385,16325,0.27034859650575477,100,87,0.87,4,0.04,328,287,13,1,0.07692307692307693,2,0,2,0.0,0.0,0.0,,0.08262612717226148,,54c2f26dd8e3996a0a66d742c4008a87c97894a9e75cac1a43fa600321bb24b6,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D2_OVI_RECONSTRUCTION,MEASURED,REUSED_REAL_OVI_FORWARD_FIXED_CANDIDATES,G_full,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,1609563,1276550,0.7931034696995396,100,92,0.92,3,0.03,29,21,13,1,0.07692307692307693,21,1,20,0.047619047619047616,0.07692307692307693,0.058823529411764705,0.43849461898207664,,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
scene0109_00-scene0109_01,D2_OVI_RECONSTRUCTION,MEASURED,REUSED_REAL_OVI_FORWARD_FIXED_CANDIDATES,G_supported,0.25,8bbe89f8f2ac1056a5ccd759e4648997ab3c3214,1609563,1276550,0.7931034696995396,100,92,0.92,3,0.03,29,21,13,1,0.07692307692307693,19,1,18,0.05263157894736842,0.07692307692307693,0.0625,0.43849461898207664,,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,229982f717a62a4c2a83ce970f3e312ce28aa08ab0ca05187fa7e16e29f76476,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e
